27,2,1,1,0,0,0
35,28,9,13,0,0,0
22,15,8,4,1,0,0
24,42,20,11,1,0,0
36,168,70,60,8,0,0
32,297,145,86,11,0,0
23,0,0,0,0,0,0
25,46,17,19,1,0,0
26,63,29,24,5,0,0
34,107,48,32,2,0,0
19,3,1,2,0,0,0
24,2,2,0,1,0,0
24,132,53,50,10,138,47
23,52,25,17,6,89,27
23,69,31,25,13,157,46
30,258,91,94,17,220,70
22,57,26,21,8,112,43
22,37,16,13,1,13,4
29,42,12,21,0,38,8
31,14,4,7,0,11,2
23,122,52,44,6,153,24
26,29,13,11,2,21,5
28,19,5,12,1,19,5
28,44,20,16,0,3,1
23,0,0,0,0,0,0
33,213,86,77,105,458,223
32,39,14,18,8,42,17
23,117,42,45,21,133,56
27,178,58,79,41,275,114
24,15,3,7,0,6,2
27,29,17,4,0,0,0
27,69,55,4,0,0,0
33,136,56,44,0,0,0
21,0,0,0,0,0,0
21,0,0,0,0,0,0
29,159,98,30,14,0,0
23,73,52,6,0,0,0
26,153,86,36,4,0,0
29,86,58,7,4,0,0
21,95,74,8,6,0,0
19,6,4,1,0,0,0
